phase,sponsor_type,enrollment_count,intervention_type,n_arms,has_dmc,allocation,masking,primary_purpose,n_primary_outcomes,n_secondary_outcomes,outcomes_ratio,n_locations,is_multicenter,has_us_site,n_collaborators,abandoned
PHASE3,NETWORK,120.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,12,12.0,1,0,0,0,0
PHASE4,OTHER,80.0,DRUG,4,0.0,RANDOMIZED,TRIPLE,TREATMENT,3,5,1.6666666666666667,2,1,0,0,0
NA,OTHER,121.0,BEHAVIORAL,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,3,3.0,2,1,1,0,0
NA,FED,,BEHAVIORAL,0,,RANDOMIZED,NONE,PREVENTION,1,1,1.0,1,0,1,1,0
NA,OTHER,20.0,OTHER,2,0.0,RANDOMIZED,SINGLE,HEALTH_SERVICES_RESEARCH,1,0,0.0,1,0,1,0,0
NA,INDUSTRY,31.0,BEHAVIORAL,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,0,1,0
PHASE2,OTHER,193.0,DRUG,2,1.0,RANDOMIZED,NONE,TREATMENT,1,4,4.0,29,1,1,4,0
NA,INDIV,33.0,DEVICE,1,0.0,NON_RANDOMIZED,NONE,TREATMENT,6,0,0.0,1,0,1,1,1
NA,OTHER,230.0,PROCEDURE,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,9,9.0,1,0,0,0,0
PHASE1,OTHER,0.0,BIOLOGICAL,0,1.0,NON_RANDOMIZED,NONE,TREATMENT,2,1,0.5,1,0,1,1,1
PHASE1/PHASE2,OTHER,20.0,DRUG,0,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,1,0,0
NA,OTHER,52.0,OTHER,2,0.0,RANDOMIZED,TRIPLE,SUPPORTIVE_CARE,3,2,0.6666666666666666,1,0,0,2,0
NA,OTHER,53.0,DIETARY_SUPPLEMENT,3,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,5,5.0,1,0,0,0,0
PHASE1,INDUSTRY,69.0,DRUG,3,,RANDOMIZED,DOUBLE,TREATMENT,7,7,1.0,1,0,1,0,0
NA,OTHER,28.0,OTHER,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,2,2.0,1,0,0,0,0
NA,FED,66.0,OTHER,2,0.0,RANDOMIZED,SINGLE,OTHER,2,15,7.5,1,0,1,0,0
PHASE3,NETWORK,430.0,DRUG,0,,RANDOMIZED,NONE,TREATMENT,0,0,0.0,57,1,0,0,0
PHASE1,INDUSTRY,34.0,DRUG,2,,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,2,5,2.5,1,0,0,0,0
PHASE3,OTHER,43.0,DRUG,2,,RANDOMIZED,DOUBLE,TREATMENT,1,0,0.0,1,0,0,0,0
PHASE3,OTHER,,DEVICE,0,,RANDOMIZED,NONE,TREATMENT,1,11,11.0,1,0,0,0,0
NA,OTHER,150.0,PROCEDURE,2,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,0,0,0
NA,OTHER_GOV,81.0,DIAGNOSTIC_TEST,2,0.0,NON_RANDOMIZED,NONE,DIAGNOSTIC,1,3,3.0,1,0,0,0,0
NA,OTHER,21.0,BEHAVIORAL,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,4,4.0,1,0,0,1,0
PHASE2,INDUSTRY,74.0,DRUG,3,,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,12,1,1,0,0
PHASE3,OTHER,23.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,2,5,2.5,1,0,0,1,0
